Badakhshan	AF	BDS	Badakhshan	
Badghis	AF	BDG	Badghis	
Baghlan	AF	BGL	Baghlan	
Balkh	AF	BAL	Balkh	
Bamyan	AF	BAM	Bamyan	
Daykundi	AF	DAY	Daykundi	
Faryab	AF	FYB	Faryab	
Ghor	AF	GHO	Ghor	
Helmand	AF	HEL	Helmand	
Jowzjan	AF	JOW	Jowzjan	
Kapisa	AF	KAP	Kapisa	
Kunar	AF	KNR	Kunar	
Laghman	AF	LAG	Laghman	
Logar	AF	LOG	Logar	
Nangarhar	AF	NAN	Nangarhar	
Nimruz	AF	NIM	Nimruz	
Nuristan	AF	NUR	Nuristan	
Paktika	AF	PKA	Paktika	
Paktia	AF	PIA	Paktia	
Panjshir	AF	PAN	Panjshir	
Parwan	AF	PAR	Parwan	
Samangan	AF	SAM	Samangan	
Sar-e Pol	AF	SAR	Sar-e Pol	
Takhar	AF	TAK	Takhar	
Urozgan	AF	URU	Urozgan	
Maidan Wardak	AF	WAR	Maidan Wardak	
Zabul	AF	ZAB	Zabul	
Saint George	AG	03	Saint George	
Saint John	AG	04	Saint John	
Saint Mary	AG	05	Saint Mary	
Saint Paul	AG	06	Saint Paul	
Saint Peter	AG	07	Saint Peter	
Saint Philip	AG	08	Saint Philip	
Redonda	AG	11	Redonda	
Tirane	AL	11	Tirane	
Diber	AL	09	Diber	
Gegharkunik	AM	GR	Gegharkunik	
Kotayk	AM	KT	Kotayk	
Lori	AM	LO	Lori	
Shirak	AM	SH	Shirak	
Syunik	AM	SU	Syunik	
Tavush	AM	TV	Tavush	
Vayots Dzor	AM	VD	Vayots Dzor	
Bengo	AO	BGO	Bengo	
Bie	AO	BIE	Bie	
Cunene	AO	CNN	Cunene	
Huila	AO	HUI	Huila	
Kuando Kubango	AO	CCU	Kuando Kubango	
Kwanza Norte	AO	CNO	Kwanza Norte	
Kwanza Sul	AO	CUS	Kwanza Sul	
Lunda Norte	AO	LNO	Lunda Norte	
Lunda Sul	AO	LSU	Lunda Sul	
Moxico	AO	MOX	Moxico	
Zaire	AO	ZAI	Zaire	
Burgenland	AT	1	Burgenland	
Carinthia	AT	2	Carinthia	
Lower Austria	AT	3	Lower Austria	
Upper Austria	AT	4	Upper Austria	
Styria	AT	6	Styria	
Tyrol	AT	7	Tyrol	
Vorarlberg	AT	8	Vorarlberg	
Vienna	AT	9	Vienna	
New South Wales	AU	NSW	New South Wales	
Queensland	AU	QLD	Queensland	
South Australia	AU	SA	South Australia	
Tasmania	AU	TAS	Tasmania	
Victoria	AU	VIC	Victoria	
Western Australia	AU	WA	Western Australia	
Australian Capital Territory	AU	ACT	Australian Capital Territory	
Northern Territory	AU	NT	Northern Territory	
Mingachevir	AZ	MI	Mingachevir	
